job name,company name,workarea,salary,update time
算法实习生-商业化技术,字节跳动,上海,4-8千/月,2021-04-26 01:22:54
计算机视觉算法实习生-电商,字节跳动,北京,0.8-1万/月,2021-04-26 01:18:09
AI Lab机器学习系统实习生,字节跳动,北京,0.8-1万/月,2021-04-26 01:13:01
《40万顶薪》数据挖掘工程师02,Topgames,上海-浦东新区,1.5-3万/月,2021-04-25 17:50:23
数据分析（2021届毕业生）,南京烽火星空通信发展有限公司,北京,1.3-1.6万/月,2021-04-25 17:36:36
培训生 (流程管理 - IT背景),朗盛化学（中国）有限公司,上海-黄浦区,1-1.5万/月,2021-04-25 17:15:25
数据分析师（2021年校招）,上海卓易科技股份有限公司,上海-徐汇区,1-1.5万/月,2021-04-25 17:12:59
算法工程师实习生(J10579),创新奇智（北京）科技有限公司,北京-海淀区,280元/天,2021-04-25 17:00:01
数据分析,上海韵达货运有限公司,上海-青浦区,4.5-6千/月,2021-04-25 17:00:01
数据管培生 无经验要求,太平洋房屋,上海-徐汇区,0.7-1万/月,2021-04-25 16:41:46
初级数据分析员（广兰路）,上海中智项目外包咨询服务有限公司,上海-浦东新区,6-8千/月,2021-04-25 16:41:24
数据统计分析专员,北京彩色鲤鱼科技有限公司,北京-丰台区,6-8千/月,2021-04-25 16:33:01
数据挖掘工程师,上海创和亿电子科技发展有限公司,上海,0.8-1万/月,2021-04-25 16:21:28
数据分析师 (MJ000108),深圳萨摩耶数字科技有限公司,上海-浦东新区,1-1.5万/月,2021-04-25 16:21:15
数据实习生,上海百事通法务信息技术有限公司,上海,150元/天,2021-04-25 16:19:25
推荐算法工程师（2021届校招）,同方知网（北京）技术有限公司,北京,1.2-1.8万/月,2021-04-25 16:13:03
数据产品/数据策略分析师-北京，校招,北京牛卡福网络科技有限公司,北京-朝阳区,1-2万/月,2021-04-25 16:03:44
数据分析/助理 /实习,苏州丰汇达工程管理咨询有限公司,上海-黄浦区,4-7千/月,2021-04-25 15:54:59
数据分析实习生,上海松佰牙科器械有限公司,上海-徐汇区,3-4.5千/月,2021-04-25 15:45:17
数据与软件研发（实习生）,上海新朋程数据科技发展有限公司,上海-杨浦区,3-4.5千/月,2021-04-25 15:36:24
数据分析（实习生）,上海众调信息科技有限公司,上海-杨浦区,150元/天,2021-04-25 15:33:29
初级商业数据分析师,上海宏原信息科技有限公司,上海,180元/天,2021-04-25 15:28:06
感知算法实习生-深度学习,上海仙途智能科技有限公司,上海-闵行区,5-8千/月,2021-04-25 15:10:03
实习（数据分析向，可转正）,上海固锦信息技术有限公司,上海-浦东新区,150元/天,2021-04-25 14:53:45
校园招聘-助理深度学习算法研究员,北京安德医智科技有限公司,北京-丰台区,1.5-2.5万/月,2021-04-25 14:30:58
校园招聘-深度学习算法研究员,北京安德医智科技有限公司,北京-丰台区,1.5-2.5万/月,2021-04-25 14:30:55
算法工程师(J12146),满帮集团,异地招聘,20-30万/年,2021-04-25 14:24:28
算法工程师(J12696),满帮集团,异地招聘,2-2.5万/月,2021-04-25 14:24:13
数据分析员,上海自贸区红酒交易中心股份有限公司,上海-浦东新区,0.8-1万/月,2021-04-25 14:03:19
商业数据分析实习生,丽人丽妆,上海-徐汇区,3-4千/月,2021-04-25 13:29:05
数据分析师/高级数据分析师,中联利拓融资租赁股份有限公司,上海-浦东新区,0.8-1.2万/月,2021-04-25 12:41:24
